City Name,Month,Day of Week,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Time Period,Is_Weekend,Is_Peak_Hour,Bad_Weather_Flag,Road_Risk_Score,Urban_or_Rural
Other,May,Monday,1,5,Cycle,0,4,Hazy,National Highway,Wet,Dark,Signs,61,66,Male,Unknown,Yes,Curve,Night,0,0,0,1,0
Lucknow,January,Wednesday,0,5,Truck,5,4,Hazy,Urban Road,Dry,Dusk,Signs,92,60,Male,Unknown,Yes,Straight Road,Night,0,0,0,0,0
Other,May,Wednesday,0,5,Pedestrian,6,5,Foggy,National Highway,Under Construction,Dawn,Signs,120,26,Female,Unknown,No,Bridge,Morning,0,1,1,0,0
Lucknow,June,Saturday,0,3,Bus,10,5,Rainy,State Highway,Dry,Dark,Signals,76,34,Female,Valid,Yes,Straight Road,Night,1,0,1,0,0
Other,August,Thursday,0,5,Cycle,7,1,Foggy,Urban Road,Wet,Dusk,Signs,115,30,Male,Unknown,No,Intersection,Morning,0,1,1,1,0
Other,November,Tuesday,1,1,Truck,6,2,Stormy,Village Road,Dry,Daylight,Police Checkpost,48,44,Male,Expired,Yes,Bridge,Morning,0,1,0,0,0
Other,October,Monday,2,2,Two-Wheeler,9,5,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,111,48,Female,Unknown,No,Straight Road,Evening,0,1,1,0,0
Other,December,Wednesday,0,3,Truck,1,5,Clear,State Highway,Damaged,Dark,Police Checkpost,62,42,Female,Valid,No,Curve,Morning,0,1,0,1,0
Jodhpur,July,Saturday,2,3,Truck,7,1,Clear,Urban Road,Damaged,Dawn,Signs,35,53,Male,Valid,No,Straight Road,Morning,1,1,0,1,0
Jodhpur,August,Saturday,2,2,Car,3,2,Foggy,State Highway,Under Construction,Dark,Signs,110,50,Female,Unknown,Yes,Straight Road,Night,1,0,1,0,0
Other,April,Thursday,0,5,Pedestrian,1,3,Hazy,National Highway,Dry,Dusk,Signals,35,49,Female,Unknown,No,Straight Road,Night,0,0,0,0,0
Kanpur,August,Tuesday,2,3,Bus,1,4,Clear,National Highway,Wet,Dusk,Unknown,46,41,Male,Valid,No,Curve,Afternoon,0,0,0,1,0
Other,September,Saturday,1,1,Cycle,2,3,Hazy,Village Road,Under Construction,Daylight,Signs,46,55,Female,Unknown,No,Straight Road,Night,1,0,0,0,0
Other,June,Wednesday,1,5,Car,0,0,Foggy,State Highway,Wet,Dusk,Signals,98,44,Female,Valid,No,Bridge,Morning,0,1,1,1,0
Other,August,Friday,1,3,Bus,6,3,Foggy,National Highway,Wet,Dawn,Police Checkpost,47,54,Male,Valid,No,Intersection,Evening,0,1,1,1,0
Other,August,Friday,0,4,Cycle,4,5,Stormy,State Highway,Under Construction,Dusk,Signals,60,44,Female,Unknown,No,Curve,Afternoon,0,0,0,0,0
Tirupati,October,Sunday,0,2,Cycle,7,4,Rainy,Village Road,Damaged,Dark,Signs,90,51,Female,Valid,No,Curve,Afternoon,1,0,1,1,0
Bangalore,October,Thursday,2,5,Car,10,2,Hazy,Village Road,Wet,Dark,Signs,114,51,Female,Expired,No,Intersection,Evening,0,1,0,1,0
Other,November,Wednesday,1,3,Auto-Rickshaw,7,1,Rainy,National Highway,Under Construction,Dawn,Signs,80,55,Male,Valid,Yes,Bridge,Morning,0,1,1,0,0
Other,April,Saturday,2,3,Car,7,5,Foggy,State Highway,Wet,Daylight,Signs,46,57,Female,Valid,Yes,Straight Road,Morning,1,1,1,1,0
Other,June,Tuesday,1,5,Two-Wheeler,6,3,Rainy,Urban Road,Dry,Dusk,Signals,30,20,Female,Expired,Yes,Bridge,Morning,0,1,1,0,0
Other,February,Wednesday,1,2,Car,10,3,Hazy,Urban Road,Dry,Dusk,Signs,55,41,Female,Valid,No,Straight Road,Night,0,0,0,0,0
Varanasi,July,Friday,2,1,Two-Wheeler,9,4,Clear,National Highway,Wet,Dawn,Signals,34,23,Female,Expired,Yes,Bridge,Evening,0,1,0,1,0
Nagpur,December,Tuesday,1,3,Cycle,1,3,Foggy,National Highway,Dry,Daylight,Unknown,106,48,Male,Unknown,No,Intersection,Afternoon,0,0,1,0,0
Other,February,Monday,1,1,Two-Wheeler,1,1,Foggy,Urban Road,Damaged,Dawn,Police Checkpost,31,20,Male,Unknown,No,Straight Road,Night,0,0,1,1,0
Madurai,August,Tuesday,2,3,Auto-Rickshaw,2,2,Stormy,National Highway,Wet,Daylight,Police Checkpost,92,43,Female,Unknown,Yes,Intersection,Morning,0,1,0,1,0
Other,April,Wednesday,0,2,Pedestrian,7,5,Clear,State Highway,Under Construction,Daylight,Police Checkpost,71,65,Male,Unknown,No,Straight Road,Afternoon,0,0,0,0,0
Other,August,Wednesday,2,1,Car,10,1,Stormy,National Highway,Damaged,Dusk,Unknown,90,64,Female,Expired,No,Bridge,Night,0,0,0,1,0
Other,March,Friday,1,2,Bus,8,0,Stormy,Village Road,Wet,Daylight,Signals,83,31,Female,Expired,No,Curve,Afternoon,0,0,0,1,0
Varanasi,May,Sunday,0,3,Two-Wheeler,2,1,Hazy,National Highway,Under Construction,Dusk,Unknown,33,24,Female,Valid,Yes,Straight Road,Morning,1,1,0,0,0
Surat,March,Thursday,2,2,Car,7,0,Stormy,State Highway,Under Construction,Dawn,Signs,69,51,Female,Valid,No,Bridge,Afternoon,0,0,0,0,0
Lucknow,November,Tuesday,2,1,Bus,0,3,Clear,National Highway,Under Construction,Dark,Signals,53,63,Male,Valid,No,Straight Road,Morning,0,1,0,0,0
Mumbai,July,Saturday,1,5,Bus,6,2,Hazy,Urban Road,Damaged,Dawn,Signs,82,68,Female,Valid,No,Curve,Night,1,0,0,1,0
Other,July,Thursday,0,3,Auto-Rickshaw,7,2,Stormy,State Highway,Damaged,Dark,Signs,79,41,Male,Valid,Yes,Curve,Afternoon,0,0,0,1,0
Other,August,Saturday,0,2,Pedestrian,8,3,Stormy,National Highway,Dry,Dawn,Unknown,30,40,Male,Unknown,Yes,Bridge,Evening,1,1,0,0,0
Durgapur,February,Sunday,1,3,Cycle,9,5,Hazy,Village Road,Damaged,Dark,Unknown,106,25,Female,Expired,Yes,Straight Road,Morning,1,1,0,1,0
Other,January,Tuesday,2,2,Car,3,1,Foggy,State Highway,Damaged,Dawn,Unknown,102,32,Female,Expired,No,Bridge,Afternoon,0,0,1,1,0
Other,July,Thursday,0,2,Car,1,5,Foggy,National Highway,Under Construction,Dawn,Unknown,48,69,Female,Expired,No,Curve,Evening,0,1,1,0,0
Other,June,Saturday,0,5,Truck,5,3,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,32,65,Male,Valid,No,Intersection,Evening,1,1,1,0,0
Other,February,Monday,1,1,Truck,4,1,Hazy,Urban Road,Under Construction,Dusk,Signs,59,60,Male,Valid,No,Straight Road,Morning,0,1,0,0,0
Other,February,Wednesday,2,2,Truck,5,5,Rainy,National Highway,Under Construction,Daylight,Unknown,88,53,Female,Expired,No,Bridge,Evening,0,1,1,0,0
Surat,July,Tuesday,1,5,Auto-Rickshaw,2,2,Foggy,Village Road,Damaged,Dusk,Signs,83,56,Male,Valid,No,Intersection,Evening,0,1,1,1,0
Kolkata,April,Friday,0,2,Auto-Rickshaw,2,5,Clear,State Highway,Under Construction,Dawn,Unknown,58,47,Female,Valid,No,Bridge,Morning,0,1,0,0,0
Kolkata,December,Sunday,1,5,Cycle,2,5,Rainy,Village Road,Damaged,Dark,Signals,30,20,Male,Valid,Yes,Straight Road,Morning,1,1,1,1,0
Other,February,Sunday,1,1,Truck,8,1,Foggy,National Highway,Damaged,Dawn,Signs,104,42,Male,Valid,No,Curve,Morning,1,1,1,1,0
Bangalore,February,Wednesday,0,3,Truck,1,5,Rainy,Urban Road,Under Construction,Dark,Police Checkpost,93,44,Male,Unknown,Yes,Intersection,Night,0,0,1,0,0
Durgapur,November,Friday,0,3,Auto-Rickshaw,4,4,Foggy,State Highway,Damaged,Dark,Signs,82,53,Male,Unknown,No,Intersection,Morning,0,1,1,1,0
Other,January,Tuesday,2,5,Cycle,0,2,Rainy,Village Road,Wet,Daylight,Signs,82,48,Male,Valid,Yes,Curve,Evening,0,1,1,1,0
Other,October,Wednesday,1,2,Car,2,5,Stormy,Village Road,Under Construction,Daylight,Signs,108,37,Female,Unknown,Yes,Intersection,Morning,0,1,0,0,0
Ahmedabad,May,Sunday,0,4,Auto-Rickshaw,9,4,Hazy,National Highway,Dry,Dusk,Unknown,41,49,Female,Valid,No,Curve,Night,1,0,0,0,0
Ahmedabad,December,Wednesday,2,4,Two-Wheeler,3,5,Rainy,State Highway,Wet,Dusk,Unknown,61,51,Female,Unknown,No,Intersection,Night,0,0,1,1,0
Kanpur,May,Thursday,0,2,Two-Wheeler,6,2,Rainy,National Highway,Wet,Dusk,Unknown,109,30,Male,Valid,No,Bridge,Evening,0,1,1,1,0
Other,August,Tuesday,2,4,Two-Wheeler,1,3,Foggy,National Highway,Under Construction,Daylight,Unknown,30,57,Male,Expired,No,Curve,Night,0,0,1,0,0
Other,May,Sunday,0,5,Auto-Rickshaw,1,4,Hazy,State Highway,Damaged,Dawn,Police Checkpost,114,25,Female,Unknown,Yes,Straight Road,Morning,1,1,0,1,0
Other,April,Saturday,1,4,Pedestrian,6,4,Foggy,State Highway,Dry,Dusk,Signals,37,22,Male,Valid,Yes,Intersection,Morning,1,1,1,0,0
Mangalore,October,Thursday,1,2,Bus,1,5,Hazy,State Highway,Under Construction,Dark,Signs,50,44,Male,Expired,No,Straight Road,Evening,0,1,0,0,0
Other,February,Sunday,1,1,Car,8,1,Stormy,National Highway,Wet,Dark,Police Checkpost,89,20,Male,Unknown,No,Intersection,Night,1,0,0,1,0
Other,February,Friday,2,2,Two-Wheeler,9,2,Rainy,State Highway,Under Construction,Daylight,Police Checkpost,117,59,Male,Unknown,Yes,Bridge,Night,0,0,1,0,0
Siliguri,November,Tuesday,2,5,Cycle,7,4,Rainy,State Highway,Wet,Dawn,Signs,45,56,Female,Unknown,No,Bridge,Night,0,0,1,1,0
